application_type,applications,with_conditions,refused
"Cert. of Lawful Use/Dev -EXISTING",11,0,1
"Demolition Determination (GPDO Part 31)",11,0,0
"Flats on detached block of flats",11,0,8
"LDC (Proposed) Use edged",11,0,8
"Lawfull Use (use)",11,0,3
"PA New Dwellings on Detached Building",11,0,6
"Prior Approval Additional Storey",11,0,11
"Prior Approval: Change of use - retail to restaurant/café",11,0,4
Advertisement,10,6,2
"Approval under Rush Common Act",10,0,0
"Certificate of Lawful Development All",10,0,2
"Certificates Lawful Existing Use or Dev.",10,0,3
"Commercial/Business (E)-mixed use/flats",10,6,0
Demolition,10,0,1
"EIA Screening Opinion",10,0,0
"GPD P3P - B8 to C3",10,0,7
"GPD P3PA - B1(c) to C3",10,0,4
"GPDO Telecomm Act PD consultation",10,0,0
"Listed Building Consent (S8 P&amp;LBC 1990)",10,0,0
"PA - Light Industrial (B1C) to Dwellinghouse (C3)",10,0,5
"Prior Approval (Demolition)",10,3,1
"Prior Approval (Roof Extensions)",10,4,5
"Prior Approval (Storage to Residential)",10,0,10
"Prior approval - Enlargement of a Dwellinghouse",10,1,0
"Temporary Flexible Uses",10,0,0
"Variation of condition",10,1,0
"dwellings on detached blocks of flats",10,4,1
"AA Enlarge dwelling additional storey",9,0,4
"B8 (storage/distribution) to Residential",9,0,4
"Council Owned Regulation 3",9,0,0
"Deemed (Reg4 Councils Other Development)",9,0,0
"Environmental Impact Assessment",9,0,1
"Outline planning application with some / all matters reserved",9,0,2
"PA Construction of New Dwellings",9,0,6
"Prior Approval (Other)",9,2,5
"Prior Approval Shop to Assembly and Leisure",9,0,2
"Prior Approval: Development for electronic communications network",9,0,4
"Prior Demolition Notice",9,1,0
"Prior Notification (Light ind. to Resi)",9,0,4
"Reserved Matters following Major Outline",9,0,0
"Scoping Opinion",9,0,1
"Approval Reserved Matters (After OPP)",8,0,0
"Determination prior approval demolition",8,0,5
"Discharge Condition Reg 3",8,0,0
"Listed Building Consent (Alt Or Ext)",8,0,1
"PA - Householder",8,0,1
"Removal or Variation of Condition",8,0,0
"Reserved Matters DD Submission 2",8,0,0
"Storage & Distribution Prior Approval",8,0,4
"Variation of Condition following grant of planning permission",8,8,0
"XXX - GPDO - Class O - DO NOT USE",8,0,2
"Additional Environmental Approval (Extension of pp)",7,3,0
"Advert Application",7,0,3
"Advertisement consent",7,0,0
"Agriculture Prior Approval Determination",7,4,0
"Application for Temporary Permission",7,6,0
"Consent to display advertisements",7,0,1
"Construction of Additional Storeys",7,0,6
"Details (Required By Planning Portal)",7,0,0
"Discharge of s106 obligation",7,0,0
"EIA Screening",7,0,0
"Legal Agreement modify or discharge a planning obligation",7,0,1
"Modify / Discharge Legal Agreement",7,1,0
"Observations to OPDC",7,0,0
"Observations to Other Borough",7,0,1
"Outline App + Environmental Statement",7,4,0
"Prior - additional storey(s) extension",7,7,0
"Prior Approval Householder",7,0,0
"Prior Approval Light Industrial B1(c) to Residential",7,0,3
"Prior Approval to Demolish",7,0,0
"Scoping Opinion (EIA Regs)",7,0,0
"Telecoms Prior Approval",7,0,3
A16,6,0,0
"All other major",6,0,0
"Approval of reserved matters",6,1,0
CLP,6,0,0
"Certificate of Lawfulness (proposed)",6,0,2
"Full application Accompanied by ES",6,3,0
"GPD P3C - A1 A2 Bet Loan Casino to A3",6,0,3
"GPDO - works on operational railway land",6,0,0
"LDC (Existing) Operations edged",6,0,2
"Other Prior Approval",6,0,0
"Outline Permission (Major)",6,2,2
"PA New State School",6,0,2
"PA: Notification of Demolition",6,0,0
"Prior Approval Class E, betting shop, loan shop to mixed use (Pt 3 Class G)",6,0,1
"Retail/Betting/Payday Loan to D2",6,0,1
"Screening Opinions",6,0,0
"Telecom development",6,0,2
"Telecoms Determination (GPDO 2015 Pt 16)",6,0,2
"Temporary Change of Use (2 Years) Notification",6,0,0
"Variation / discharge of legal agreement",6,0,0
"X Variation/Removal of Condition(s)",6,4,1
"Additional Environmental Approval",5,0,0
"Application to Display Adverts",5,0,2
"Approval Reserved Matters",5,0,0
"Cert. of Lawfulness - existing",5,0,0
"Class E to Use Class C3 - Dwellinghouse",5,0,3
"Compliance of Conditions",5,0,0
"Consent to Display an Advertisement(s)",5,0,1
"Flats on detached commercial",5,0,5
"Full Regulation 3 - LBHF is Developer",5,0,0
"GPD P3G - E Bet Loan to Mixed + 2 Flats",5,0,1
"Licence Notification",5,0,0
"Major Outline Application",5,3,0
"Non Material Amendments 4",5,0,0
"Other Authority",5,0,0
"PA - Retail to Restaurants and Cafés (Class A3)",5,0,1
"PD Notification - Telecoms",5,0,0
"Prior Approval - GPDO Part 1 - 42 Days",5,0,1
"Prior Approval - Retail/Betting/Pay day Loan to Mixed Use",5,0,3
"Prior Approval New Dwellings on Detached Bldg in Comm or Mixed use (Part 20 Class AA)",5,0,3
